field,frozen_value,assessment,reason
decision_profiles.tempo_sensitive.metric_vector.0.direction,"""higher""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.tempo_sensitive.metric_vector.0.aggregation,"""turn-weighted mean with weights T1=.35 T2=.30 T3=.20 T4=.15""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.tempo_sensitive.metric_vector.0.turns.0,1,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.tempo_sensitive.metric_vector.0.turns.1,2,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.tempo_sensitive.metric_vector.0.turns.2,3,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.tempo_sensitive.metric_vector.0.turns.3,4,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.tempo_sensitive.metric_vector.0.scenarios.0,"""weighted_primary""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.tempo_sensitive.metric_vector.0.normalization,"""none""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.tempo_sensitive.metric_vector.0.no_worse_tolerance,0.01,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.tempo_sensitive.metric_vector.0.materiality_tolerance,0.025,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.tempo_sensitive.metric_vector.0.missing_data,"""error""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.tempo_sensitive.metric_vector.0.uncertainty,"""paired confidence interval""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.tempo_sensitive.metric_vector.1.metric,"""realized_etb_tapped_block""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.tempo_sensitive.metric_vector.1.direction,"""lower""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.tempo_sensitive.metric_vector.1.aggregation,"""rate per land play through turn 4""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.tempo_sensitive.metric_vector.1.turns.0,1,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.tempo_sensitive.metric_vector.1.turns.1,2,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.tempo_sensitive.metric_vector.1.turns.2,3,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.tempo_sensitive.metric_vector.1.turns.3,4,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.tempo_sensitive.metric_vector.1.scenarios.0,"""weighted_primary""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.tempo_sensitive.metric_vector.1.normalization,"""none""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.tempo_sensitive.metric_vector.1.no_worse_tolerance,0.0025,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.tempo_sensitive.metric_vector.1.materiality_tolerance,0.005,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.tempo_sensitive.metric_vector.1.missing_data,"""error""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.tempo_sensitive.metric_vector.1.uncertainty,"""paired confidence interval""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.tempo_sensitive.metric_vector.2.metric,"""double_spell_success""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.tempo_sensitive.metric_vector.2.direction,"""higher""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.tempo_sensitive.metric_vector.2.aggregation,"""mean at turns 3-4""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.tempo_sensitive.metric_vector.2.turns.0,3,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.tempo_sensitive.metric_vector.2.turns.1,4,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.tempo_sensitive.metric_vector.2.scenarios.0,"""weighted_primary""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.tempo_sensitive.metric_vector.2.normalization,"""none""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.tempo_sensitive.metric_vector.2.no_worse_tolerance,0.0025,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.tempo_sensitive.metric_vector.2.materiality_tolerance,0.005,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.tempo_sensitive.metric_vector.2.missing_data,"""error""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.tempo_sensitive.metric_vector.2.uncertainty,"""paired confidence interval""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.color_consistency.comparison,"""lexicographic metric vector; no scalar master score""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.color_consistency.tie_behavior,"""practically tied within component materiality tolerances; uncertainty retains both""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.color_consistency.overlap_rationale,"""Functional castability is primary; joint UB is a diagnostic secondary stress dimension and is omitted in the de-correlated variant.""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.color_consistency.leave_one_out,"""evaluate one preregistered variant per omitted component""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.color_consistency.decorrelated_variant.metrics.0,"""spell_level_on_time_castability""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.color_consistency.decorrelated_variant.rationale,"""Avoids counting raw color access separately from spell execution.""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.color_consistency.metric_vector.0.metric,"""spell_level_on_time_castability""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.color_consistency.metric_vector.0.direction,"""higher""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.color_consistency.metric_vector.0.aggregation,"""desired-window-weighted mean for colored spells""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.color_consistency.metric_vector.0.turns.0,1,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.color_consistency.metric_vector.0.turns.1,2,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.color_consistency.metric_vector.0.turns.2,3,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.color_consistency.metric_vector.0.turns.3,4,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.color_consistency.metric_vector.0.scenarios.0,"""weighted_primary""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.color_consistency.metric_vector.0.normalization,"""none""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.color_consistency.metric_vector.0.no_worse_tolerance,0.0025,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.color_consistency.metric_vector.0.materiality_tolerance,0.005,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.color_consistency.metric_vector.0.missing_data,"""error""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.color_consistency.metric_vector.0.uncertainty,"""paired confidence interval""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.color_consistency.metric_vector.1.metric,"""joint_UB_access_by_turn""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.color_consistency.metric_vector.1.direction,"""higher""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.color_consistency.metric_vector.1.aggregation,"""weighted rate T2=.6 T3=.3 T4=.1""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.color_consistency.metric_vector.1.turns.0,2,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.color_consistency.metric_vector.1.turns.1,3,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.color_consistency.metric_vector.1.turns.2,4,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.color_consistency.metric_vector.1.scenarios.0,"""weighted_primary""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.color_consistency.metric_vector.1.normalization,"""none""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.color_consistency.metric_vector.1.no_worse_tolerance,0.0025,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.color_consistency.metric_vector.1.materiality_tolerance,0.005,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.color_consistency.metric_vector.1.missing_data,"""error""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.color_consistency.metric_vector.1.uncertainty,"""paired confidence interval""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.interaction_sensitive.comparison,"""lexicographic metric vector; no scalar master score""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.interaction_sensitive.tie_behavior,"""practically tied within component materiality tolerances; uncertainty retains both""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.interaction_sensitive.overlap_rationale,"""Spell-plus-held interaction is primary; general and Metalcraft availability are nested diagnostics removed by de-correlation.""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.interaction_sensitive.leave_one_out,"""evaluate one preregistered variant per omitted component""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.interaction_sensitive.decorrelated_variant.metrics.0,"""spell_plus_held_interaction_success""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.interaction_sensitive.decorrelated_variant.rationale,"""Uses the realized combined endpoint only.""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.interaction_sensitive.metric_vector.0.metric,"""spell_plus_held_interaction_success""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.interaction_sensitive.metric_vector.0.direction,"""higher""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.interaction_sensitive.metric_vector.0.aggregation,"""mean at turns 2-4 over own-main starts""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.interaction_sensitive.metric_vector.0.turns.0,2,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.interaction_sensitive.metric_vector.0.turns.1,3,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.interaction_sensitive.metric_vector.0.turns.2,4,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.interaction_sensitive.metric_vector.0.scenarios.0,"""weighted_primary""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.interaction_sensitive.metric_vector.0.normalization,"""none""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.interaction_sensitive.metric_vector.0.no_worse_tolerance,0.0025,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.interaction_sensitive.metric_vector.0.materiality_tolerance,0.005,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.interaction_sensitive.metric_vector.0.missing_data,"""error""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.interaction_sensitive.metric_vector.0.uncertainty,"""paired confidence interval""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.interaction_sensitive.metric_vector.1.metric,"""opponent_turn_interaction_availability""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.interaction_sensitive.metric_vector.1.direction,"""higher""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.interaction_sensitive.metric_vector.1.aggregation,"""mean over held interaction opportunities""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.interaction_sensitive.metric_vector.1.turns.0,2,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.interaction_sensitive.metric_vector.1.turns.1,3,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.interaction_sensitive.metric_vector.1.turns.2,4,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.interaction_sensitive.metric_vector.1.scenarios.0,"""weighted_primary""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.interaction_sensitive.metric_vector.1.normalization,"""none""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.interaction_sensitive.metric_vector.1.no_worse_tolerance,0.0025,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.interaction_sensitive.metric_vector.1.materiality_tolerance,0.005,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.interaction_sensitive.metric_vector.1.missing_data,"""error""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.interaction_sensitive.metric_vector.1.uncertainty,"""paired confidence interval""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.interaction_sensitive.metric_vector.2.metric,"""full_effect_metalcraft_interaction_availability""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.interaction_sensitive.metric_vector.2.direction,"""higher""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.interaction_sensitive.metric_vector.2.aggregation,"""mean over Dispatch/Blast held opportunities""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.interaction_sensitive.metric_vector.2.turns.0,2,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.interaction_sensitive.metric_vector.2.turns.1,3,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.interaction_sensitive.metric_vector.2.turns.2,4,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.interaction_sensitive.metric_vector.2.scenarios.0,"""weighted_primary""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.interaction_sensitive.metric_vector.2.normalization,"""none""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.interaction_sensitive.metric_vector.2.no_worse_tolerance,0.0025,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.interaction_sensitive.metric_vector.2.materiality_tolerance,0.005,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.interaction_sensitive.metric_vector.2.missing_data,"""error""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.interaction_sensitive.metric_vector.2.uncertainty,"""paired confidence interval""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.double_spell_sensitive.comparison,"""lexicographic metric vector; no scalar master score""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.double_spell_sensitive.tie_behavior,"""practically tied within component materiality tolerances; uncertainty retains both""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.double_spell_sensitive.overlap_rationale,"""Double-spell and spell-plus-interaction are different paired-action endpoints; de-correlation retains double-spell only.""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.double_spell_sensitive.leave_one_out,"""evaluate one preregistered variant per omitted component""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.double_spell_sensitive.decorrelated_variant.metrics.0,"""double_spell_success""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.double_spell_sensitive.decorrelated_variant.rationale,"""Single primary multi-action endpoint.""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.double_spell_sensitive.metric_vector.0.metric,"""double_spell_success""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.double_spell_sensitive.metric_vector.0.direction,"""higher""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.double_spell_sensitive.metric_vector.0.aggregation,"""mean at turns 3-4 with T3=.4 T4=.6""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.double_spell_sensitive.metric_vector.0.turns.0,3,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.double_spell_sensitive.metric_vector.0.turns.1,4,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.double_spell_sensitive.metric_vector.0.scenarios.0,"""weighted_primary""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.double_spell_sensitive.metric_vector.0.normalization,"""none""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.double_spell_sensitive.metric_vector.0.no_worse_tolerance,0.0025,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.double_spell_sensitive.metric_vector.0.materiality_tolerance,0.005,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.double_spell_sensitive.metric_vector.0.missing_data,"""error""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.double_spell_sensitive.metric_vector.0.uncertainty,"""paired confidence interval""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.double_spell_sensitive.metric_vector.1.metric,"""spell_plus_held_interaction_success""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.double_spell_sensitive.metric_vector.1.direction,"""higher""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.double_spell_sensitive.metric_vector.1.aggregation,"""mean at turns 3-4""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.double_spell_sensitive.metric_vector.1.turns.0,3,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.double_spell_sensitive.metric_vector.1.turns.1,4,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.double_spell_sensitive.metric_vector.1.scenarios.0,"""weighted_primary""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.double_spell_sensitive.metric_vector.1.normalization,"""none""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.double_spell_sensitive.metric_vector.1.no_worse_tolerance,0.0025,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.double_spell_sensitive.metric_vector.1.materiality_tolerance,0.005,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.double_spell_sensitive.metric_vector.1.missing_data,"""error""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.double_spell_sensitive.metric_vector.1.uncertainty,"""paired confidence interval""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
